MONTH,PRCP,ETP
JAN,268,120
FEB,218,105
MAR,159,101
APR,81,84
MAY,55,63
JUN,31,51
JUL,28,54
AUG,25,77
SEP,58,96
OCT,139,104
NOV,174,116
DEZ,298,111
